Date,0
1993-11-12,10000.0
1993-11-15,10000.0
1993-11-16,10000.0
1993-11-17,10000.0
1993-11-18,10000.0
1993-11-19,10000.0
1993-11-22,10000.0
1993-11-23,10000.0
1993-11-24,10000.0
1993-11-26,10000.0
1993-11-29,10000.0
1993-11-30,10000.0
1993-12-01,10241.393675478392
1993-12-02,10341.407794140949
1993-12-03,10376.823090302314
1993-12-06,10387.649782567827
1993-12-07,10345.661590244783
1993-12-08,10394.815957267014
1993-12-09,10318.008551996332
1993-12-10,10259.471119386539
1993-12-13,10275.400363947569
1993-12-14,10176.080091624326
1993-12-15,10139.762554433786
1993-12-16,10205.903637431624
1993-12-17,10228.73589763762
1993-12-20,10259.66749913388
1993-12-21,10264.531755247865
1993-12-22,10232.862549386678
1993-12-23,10239.96401990387
1993-12-27,10318.841864334996
1993-12-28,10349.299241034954
1993-12-29,10351.829514462524
1993-12-30,10342.757314912982
1993-12-31,10408.788597446692
1994-01-03,10265.337688447127
1994-01-04,10305.519976383375
1994-01-05,10368.870383127318
1994-01-06,10333.97957048906
1994-01-07,10369.81448223976
1994-01-10,10691.162893834844
1994-01-11,10853.094949868308
1994-01-12,10876.992376799428
1994-01-13,10820.557595335487
1994-01-14,10982.0961315083
1994-01-17,11109.666569303414
1994-01-18,11027.009058851982
1994-01-19,10910.566480953772
1994-01-20,10969.067481033786
1994-01-21,11137.208944975346
1994-01-24,11055.948860442051
1994-01-25,10989.644320486885
1994-01-26,11054.00955178476
1994-01-27,11222.036914439139
1994-01-28,11245.065418701975
1994-01-31,11354.885951465209
1994-02-01,11367.868650660921
1994-02-02,11458.833681796128
1994-02-03,11482.039512284922
1994-02-04,11069.32115249003
1994-02-07,11231.165278498274
1994-02-08,11321.89397577637
1994-02-09,11310.667692787247
1994-02-10,11179.398336291855
1994-02-11,11192.942374605964
1994-02-14,11338.630437217374
1994-02-15,11446.856267819447
1994-02-16,11494.079325170216
1994-02-17,11443.983817718596
1994-02-18,11460.02649367355
1994-02-22,11641.348467355825
1994-02-23,11591.456359703818
1994-02-24,11377.42146491545
1994-02-25,11359.470346649932
1994-02-28,11588.596341623464
1994-03-01,11613.133804177001
1994-03-02,11726.059891835135
1994-03-03,11801.070582178363
1994-03-04,11934.606573855835
1994-03-07,12141.777402494918
1994-03-08,12051.350108818602
1994-03-09,12210.125719859665
1994-03-10,12194.726578005479
1994-03-11,12308.529175436923
1994-03-14,12378.116042018972
1994-03-15,12325.84988213966
1994-03-16,12304.566178257823
1994-03-17,12462.17238171221
1994-03-18,12450.850329965264
1994-03-21,12420.053949495816
1994-03-22,12447.079110242581
1994-03-23,12482.203674023393
1994-03-24,12018.903616346426
1994-03-25,11795.212528676597
1994-03-28,11545.208533189212
1994-03-29,11221.090402525895
1994-03-30,11136.775234472807
1994-03-31,11380.80696964767
1994-04-04,11373.978485465881
1994-04-05,11373.978485465881
1994-04-06,11373.978485465881
1994-04-07,11373.978485465881
1994-04-08,11373.978485465881
1994-04-11,11373.978485465881
1994-04-12,11373.978485465881
1994-04-13,11373.978485465881
1994-04-14,11373.978485465881
1994-04-15,11373.978485465881
1994-04-18,11373.978485465881
1994-04-19,11373.978485465881
1994-04-20,11373.978485465881
1994-04-21,11373.978485465881
1994-04-22,11373.978485465881
1994-04-25,11373.978485465881
1994-04-26,11373.978485465881
1994-04-28,11373.978485465881
1994-04-29,11373.978485465881
1994-05-02,11373.978485465881
1994-05-03,11373.978485465881
1994-05-04,11373.978485465881
1994-05-05,11373.978485465881
1994-05-06,11373.978485465881
1994-05-09,11373.978485465881
1994-05-10,11373.978485465881
1994-05-11,11373.978485465881
1994-05-12,11373.978485465881
1994-05-13,11373.978485465881
1994-05-16,11373.978485465881
1994-05-17,11373.978485465881
1994-05-18,11373.978485465881
1994-05-19,11373.978485465881
1994-05-20,11373.978485465881
1994-05-23,11373.978485465881
1994-05-24,11373.978485465881
1994-05-25,11373.978485465881
1994-05-26,11373.978485465881
1994-05-27,11373.978485465881
1994-05-31,11373.978485465881
1994-06-01,11373.978485465881
1994-06-02,11373.978485465881
1994-06-03,11373.978485465881
1994-06-06,11373.978485465881
1994-06-07,11373.978485465881
1994-06-08,11373.978485465881
1994-06-09,11373.978485465881
1994-06-10,11373.978485465881
1994-06-13,11373.978485465881
1994-06-14,11373.978485465881
1994-06-15,11373.978485465881
1994-06-16,11373.978485465881
1994-06-17,11373.978485465881
1994-06-20,11373.978485465881
1994-06-21,11373.978485465881
1994-06-22,11373.978485465881
1994-06-23,11373.978485465881
1994-06-24,11373.978485465881
1994-06-27,11373.978485465881
1994-06-28,11373.978485465881
